FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
biomedical_only,MLP,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7296,0.0028,0.7296,0.0028,0.7779±0.0054,0.7779±0.0054,Tie,0.0,0.004
biomedical_only,MLP,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7301,0.0032,0.7292,0.0036,0.7770±0.0055,0.7769±0.0042,Tie,0.0009,0.0048
biomedical_only,MLP,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7301,0.0032,0.7296,0.0028,0.7770±0.0055,0.7779±0.0054,Tie,0.0005,0.0043
biomedical_only,MLP,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.7292,0.0036,0.7296,0.0028,0.7769±0.0042,0.7779±0.0054,Tie,-0.0004,0.0046
combined,LogisticRegression,StandardScaler_none,StandardScaler_MI,0.7267,0.0011,0.7267,0.0011,0.7712±0.0057,0.7712±0.0057,Tie,0.0,0.0016
combined,LogisticRegression,StandardScaler_none,StandardScaler_Chi2,0.7267,0.0011,0.7263,0.0016,0.7712±0.0057,0.7705±0.0058,Tie,0.0004,0.0019
combined,LogisticRegression,StandardScaler_none,StandardScaler_ANOVA,0.7267,0.0011,0.7267,0.0011,0.7712±0.0057,0.7712±0.0057,Tie,0.0,0.0016
combined,LogisticRegression,StandardScaler_none,StandardScaler_L1,0.7267,0.0011,0.7266,0.001,0.7712±0.0057,0.7712±0.0056,Tie,0.0001,0.0015
combined,LogisticRegression,StandardScaler_MI,StandardScaler_Chi2,0.7267,0.0011,0.7263,0.0016,0.7712±0.0057,0.7705±0.0058,Tie,0.0004,0.0019
combined,LogisticRegression,StandardScaler_MI,StandardScaler_ANOVA,0.7267,0.0011,0.7267,0.0011,0.7712±0.0057,0.7712±0.0057,Tie,0.0,0.0016
combined,LogisticRegression,StandardScaler_MI,StandardScaler_L1,0.7267,0.0011,0.7266,0.001,0.7712±0.0057,0.7712±0.0056,Tie,0.0001,0.0015
combined,LogisticRegression,StandardScaler_Chi2,StandardScaler_ANOVA,0.7263,0.0016,0.7267,0.0011,0.7705±0.0058,0.7712±0.0057,Tie,-0.0004,0.0019
combined,LogisticRegression,StandardScaler_Chi2,StandardScaler_L1,0.7263,0.0016,0.7266,0.001,0.7705±0.0058,0.7712±0.0056,Tie,-0.0003,0.0019
combined,LogisticRegression,StandardScaler_ANOVA,StandardScaler_L1,0.7267,0.0011,0.7266,0.001,0.7712±0.0057,0.7712±0.0056,Tie,0.0001,0.0015
combined,LogisticRegression,MinMaxScaler_none,MinMaxScaler_MI,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,LogisticRegression,MinMaxScaler_none,MinMaxScaler_Chi2,0.7267,0.0011,0.7262,0.0016,0.7712±0.0056,0.7705±0.0058,Tie,0.0005,0.0019
combined,LogisticRegression,MinMaxScaler_none,MinMaxScaler_ANOVA,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,LogisticRegression,MinMaxScaler_none,MinMaxScaler_L1,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_Chi2,0.7267,0.0011,0.7262,0.0016,0.7712±0.0056,0.7705±0.0058,Tie,0.0005,0.0019
combined,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,LogisticRegression,MinMaxScaler_MI,MinMaxScaler_L1,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.7262,0.0016,0.7267,0.0011,0.7705±0.0058,0.7712±0.0056,Tie,-0.0005,0.0019
combined,LogisticRegression,MinMaxScaler_Chi2,MinMaxScaler_L1,0.7262,0.0016,0.7267,0.0011,0.7705±0.0058,0.7712±0.0056,Tie,-0.0005,0.0019
combined,LogisticRegression,MinMaxScaler_ANOVA,MinMaxScaler_L1,0.7267,0.0011,0.7267,0.0011,0.7712±0.0056,0.7712±0.0056,Tie,0.0,0.0016
combined,SVM,StandardScaler_none,StandardScaler_MI,0.7305,0.0004,0.7305,0.0004,0.7775±0.0044,0.7775±0.0044,Tie,0.0,0.0006
